"REV_OUTCOME","p_value","r_value","excluded_study","num_of_studies"
"CD010814_4",0.760802304118915,0.776154434129146,"STD-Helbling-2003",3
"CD010814_6",0.0321508993192269,0.0346771331100887,"STD-Moreno_x002d_Egea-2014",9
"CD010814_7",0.359185523020344,0.359185523020344,"STD-Damiano-2014",6
"CD010814_8",0.248997571606291,0.523910738573335,"STD-Helbling-2003",4
"CD010816_3",0.0490050716218278,0.101988280918872,"STD-APEX-Study",8
"CD010816_4",0.0110060435032053,0.100268419557232,"STD-HOVON_x002d_65_x002f_GMMG_x002d_HD4-Study",8
"CD010816_5",0.00187848145589945,0.00359202169290497,"STD-GIMEMA_x002d_MMY_x002d_3006-Study",10
"CD010816_6",0.224145257097389,0.328643785348147,"STD-HOVON_x002d_65_x002f_GMMG_x002d_HD4-Study",9
"CD010816_7",0.118032690556331,0.275180445061182,"STD-VISTA-Study",4
"CD010816_8",0.0236208381301601,0.039917542832165,"STD-HOVON_x002d_65_x002f_GMMG_x002d_HD4-Study",5
"CD010816_9",0.0244801937277354,0.135142615877156,"STD-VISTA-Study",5
"CD010816_10",5.42219161383918e-06,8.27802221918351e-06,"STD-GEM05MENOS65-Study",31
"CD010816_11",2.26872868251632e-05,3.82300793308434e-05,"STD-GEM05MENOS65-Study",31
"CD010816_12",0.958467302019963,0.958467302019963,"STD-IFM-2005_x002d_01-Study",5
"CD010816_13",0.0176282979833701,0.0247636370392536,"STD-APEX-Study",8
"CD010816_14",0.47728741369018,0.987548363516657,"STD-APEX-Study",8
"CD010816_15",0.584368957650034,0.797663452667832,"STD-VISTA-Study",6
"CD010816_16",0.0202422555849812,0.0345962327124815,"STD-APEX-Study",8
"CD010823_1",0.00116094795966295,0.00157573103331047,"STD-Group-_x002d_-Dai-2007",12
"CD010823_2",0.931184235404843,0.931184235404843,"STD-Group-_x002d_-Aguglia-2007",3
"CD010823_4",0.219886991981058,0.268854443658212,"STD-Group-_x002d_-Hornung-1995",10
"CD010823_5",0.992504417919364,0.992504417919364,"STD-Group-_x002d_-Hornung-1995",3
